taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,category,criteria,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason,tax_sp_level
202782,Memecylon amshoffiae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Memecylon,NA,Jacq.-Fél.,2015,EN,B1ab(iii)+2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Onana, J.-M.",16,598,200,200,NA,NA,NA,NA,NA,NA,Memecylon amshoffiae
202725,Pristimera breteleri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Pristimera,NA,N.Hallé,2015,CR,B1ab(iii)+2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Onana, J.-M.",4,4,900,900,NA,NA,NA,NA,NA,NA,Pristimera breteleri
34517,Calpocalyx atlanticus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Calpocalyx,NA,J-F. Villiers,1998,VU,A1c,FALSE,FALSE,TRUE,World Conservation Monitoring Centre,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calpocalyx atlanticus
19891683,Abrus fruticulosus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Abrus,NA,Wight &amp; Arn.,2012,DD,NA,FALSE,FALSE,TRUE,"Chadburn, H.","Hilton-Taylor, C.",NA,NA,1000,60,NA,NA,NA,NA,NA,NA,Abrus fruticulosus
34776,Baphia dewildeana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Baphia,NA,Soladoye,2015,VU,B2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Onana, J.-M.",24,64360,600,50,NA,NA,NA,NA,NA,NA,Baphia dewildeana
19891665,Trifolium schimperi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Trifolium,NA,A. Rich.,2012,LC,NA,FALSE,FALSE,TRUE,"Groom, A.","Hilton-Taylor, C.",NA,NA,3150,1700,NA,NA,NA,NA,NA,NA,Trifolium schimperi
179634,Agelanthus pennatulus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,LORANTHACEAE,Agelanthus,NA,(Sprague) Polhill &amp; Wiens,2013,VU,B2ab(iii),FALSE,FALSE,TRUE,IUCN SSC East African Plants Red List Authority,"Hilton-Taylor, C.",99.856,97445.4,2400,1650,NA,NA,NA,NA,NA,NA,Agelanthus pennatulus
18290186,Coffea canephora,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Coffea,Robusta coffee,Pierre ex A.Froehner,2017,LC,NA,FALSE,FALSE,TRUE,"Chadburn, H. & Davis, A.P.","Onana, J.-M.",NA,7220150,1500,50,NA,NA,NA,NA,NA,NA,Coffea canephora
34797,Coffea pseudozanguebariae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Coffea,NA,Bridson,2017,NT,NA,FALSE,FALSE,TRUE,"O'Sullivan, R.J. & Davis, A.P.","Beentje, H.J. & Luke, W.R.Q.",152,45306.943,650,0,NA,NA,NA,NA,NA,NA,Coffea pseudozanguebariae
179712,Coffea rhamnifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Coffea,NA,(Chiov.) Bridson,2017,DD,NA,FALSE,FALSE,TRUE,"O'Sullivan, R.J. & Davis, A.P.","Beentje, H.J. & Gereau, R.",100,143450.287,250,20,NA,NA,NA,NA,NA,NA,Coffea rhamnifolia
