tax_sp_level,nbe_occ_gbif,nbe_loc_gbif,list_continents_gbif
Aeschynomene uniflora,22,17,AFRICA
Combretum aphanopetalum,82,30,AFRICA
Sansevieria conspicua,8,4,AFRICA
Baissea myrtifolia,22,13,AFRICA
Erythrococca laurentii,1,1,
Senecio margaritae,0,NA,NA
Tetraria sp.,NA,NA,NA
Echinops pappii,12,6,AFRICA
Wahlenbergia denticulata,11,8,AFRICA
Aristida scabrivalvis,5,5,AFRICA
Cordyla africana,36,31,AFRICA
Centemopsis gracilenta,5,4,AFRICA
Cyperus erectus,120,93,AFRICA
Sabicea ferruginea,43,28,AFRICA
Cissus ruginosicarpa,31,16,AFRICA
Grewia lasiodiscus,28,19,AFRICA
Phyllanthus micromeris,4,1,AFRICA
Endostemon tenuiflorus,19,17,AFRICA
Trichoneura grandiglumis,3,3,AFRICA
Impatiens ulugurensis,1,1,AFRICA
Hutchinsonia barbata,28,19,AFRICA
Aidia crassifolia,0,NA,NA
Bikinia media,79,25,AFRICA
Cirsium buchwaldii,3,3,AFRICA
Acridocarpus zanzibaricus,7,6,AFRICA
Acacia mearnsii,500,277,"SOUTH_AMERICA, AFRICA, OCEANIA, ASIA"
Fimbristylis cymosa,173,120,"OCEANIA, SOUTH_AMERICA, AFRICA, NORTH_AMERICA"
Isolona le-testui,1,1,AFRICA
Tiliacora dinklagei,34,11,AFRICA
Salacia laurentii,9,8,AFRICA
Adenostemma viscosum,125,82,"AFRICA, ASIA"
Pentas micrantha,4,4,AFRICA
Tamarix senegalensis,31,17,AFRICA
Raphia africana,0,NA,NA
Tetrapleura chevalieri,19,10,AFRICA
Gossypium barbadense,2,2,ASIA
Croton menyharthii,23,12,AFRICA
Justicia anagalloides,76,49,AFRICA
Pterodiscus aurantiacus,1,1,AFRICA
Desmodium tortuosum,251,184,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Bulbostylis hensii,60,43,AFRICA
Tephrosia holstii,19,10,AFRICA
Crabbea angustifolia,0,NA,NA
Lannea acida,77,34,AFRICA
Sporobolus rangei,41,32,AFRICA
Tabernaemontana inconspicua,67,29,AFRICA
Eugenia bukobensis,3,2,AFRICA
Plectranthus malawiensis,0,NA,NA
Cordia subcordata,245,160,"OCEANIA, ASIA, AFRICA"
Hirpicium gazanioides,4,3,AFRICA
Ardisia buesgenii,60,34,AFRICA
Dissotis perkinsiae,29,16,AFRICA
Schistostephium dactyliferum,1,1,AFRICA
Viscum triflorum,35,25,AFRICA
Commelina schliebenii,2,2,AFRICA
Cylindropsis parvifolia,27,11,AFRICA
Indigofera pilosa,24,17,AFRICA
Leptonychia pubescens,20,10,AFRICA
Pycnostachys sphaerocephala,1,1,
Crotalaria luondeensis,1,1,
Helichrysum formosissimum,30,11,AFRICA
Gilbertiodendron robynsianum,15,8,AFRICA
Stachyothyrsus staudtii,62,20,AFRICA
Helichrysum cymosum,33,23,AFRICA
Crotalaria pilosiflora,0,NA,NA
Pyrostria uzungwaensis,0,NA,NA
Vernonia oligocephala,0,NA,NA
Ostryocarpus riparius,54,21,AFRICA
Indigofera antunesiana,5,5,AFRICA
Euclea crispa,27,15,AFRICA
Dorstenia tenera,29,13,AFRICA
Sesbania pachycarpa,30,24,AFRICA
Paspalidium desertorum,15,9,AFRICA
Pauridiantha efferata,8,6,AFRICA
Wahlenbergia flexuosa,12,10,AFRICA
Globimetula cupulata,2,2,AFRICA
Jatropha ellenbeckii,0,NA,NA
Solanecio nandensis,25,13,AFRICA
Melothria punctata,NA,NA,NA
Callichilia barteri,67,37,AFRICA
Xerophyta eylesii,1,1,
Zanthoxylum leprieurii,42,28,AFRICA
Entada wahlbergii,28,18,AFRICA
Crudia senegalensis,30,18,AFRICA
Dracaena cristula,46,21,AFRICA
Scleria gracillima,10,10,AFRICA
Kleinia negrii,12,6,AFRICA
Hyparrhenia hirta,244,178,OCEANIA
Sabicea gilletii,16,10,AFRICA
Aspilia kotschyi,81,57,AFRICA
Haplocarpha scaposa,17,12,AFRICA
Cissampelos pareira,315,136,"OCEANIA, SOUTH_AMERICA"
Sacciolepis huillensis,205,164,"OCEANIA, AFRICA, ASIA"
Justicia pseudorungia,6,6,AFRICA
Machaerium lunatum,121,61,"NORTH_AMERICA, SOUTH_AMERICA, AFRICA"
Searsia horrida,4,3,AFRICA
Cyperus chaetophyllus,0,NA,NA
Psychotria elephantina,1,1,
Nymphoides brevipedicellata,8,5,AFRICA
Ludwigia perennis,410,321,"OCEANIA, AFRICA, ASIA"
Scleria welwitschii,1,1,AFRICA
Monsonia senegalensis,22,17,AFRICA
Ficus vasta,64,28,"AFRICA, ASIA"
Gonatopus angustus,5,4,AFRICA
Uvaria cabrae,4,2,
Aloe camperi,0,NA,NA
Solanum polhillii,0,NA,NA
Drypetes natalensis,13,9,AFRICA
Acacia paolii,4,3,AFRICA
Begonia gossweileri,18,5,AFRICA
Sphaeranthus suaveolens,56,40,AFRICA
Cucumis africanus,6,6,AFRICA
Decorsella paradoxa,96,35,AFRICA
Englerophytum congolensis,20,9,AFRICA
Cyperus maranguensis,4,4,AFRICA
Commiphora schimperi,32,22,AFRICA
Vepris hiernii,14,9,AFRICA
Ammannia baccifera,229,183,"OCEANIA, NORTH_AMERICA, AFRICA, ASIA"
Montinia caryophyllacea,8,7,AFRICA
Ipomoea arachnosperma,37,25,AFRICA
Cyperus chrysocephalus,15,9,
Trifolium semipilosum,30,25,AFRICA
Aeschynomene fulgida,2,2,AFRICA
Aloe megalacantha,60,10,AFRICA
Indigofera burayei,8,5,AFRICA
Sedum crassularia,3,3,AFRICA
Englerina gabonensis,34,23,AFRICA
Mapania purpurascens,76,46,AFRICA
Rhynchospora angolensis,6,4,AFRICA
Allophylus cobbe,385,248,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA, ASIA, OCEANIA"
Thesium nigricans,6,4,AFRICA
Combretum acutifolium,3,3,AFRICA
Emelianthe panganensis,8,7,AFRICA
Asplenium hypomelas,57,23,AFRICA
Astripomoea malvacea,56,37,AFRICA
Cadaba aphylla,2,2,AFRICA
Arctopus echinatus,4,2,AFRICA
Anubias gilletii,20,12,AFRICA
Elytrophorus spicatus,454,362,"OCEANIA, AFRICA, ASIA"
Helichrysum longiramum,7,6,AFRICA
Euphorbia kouandenensis,0,NA,NA
Launaea massauensis,3,NA,NA
Cissus palmatifida,29,17,AFRICA
Xyris angustifolia,6,6,AFRICA
Rhynchosia velutina,6,6,AFRICA
Turbina stenosiphon,9,4,AFRICA
Carex cognata,12,7,AFRICA
Trichilia grandifolia,12,1,AFRICA
Vernonia incompta,1,1,AFRICA
Aeschynomene semilunaris,1,1,AFRICA
Polygala baikiei,25,18,AFRICA
Streptocarpus erubescens,1,1,AFRICA
Ascotheca paucinervia,21,10,AFRICA
Dicliptera albicaulis,1,1,AFRICA
Eulophia hereroensis,2,1,AFRICA
Ritchiea macrantha,7,3,AFRICA
Asparagus falcatus,54,42,"OCEANIA, AFRICA, NORTH_AMERICA"
Cyperus undulatus,6,4,AFRICA
Stipagrostis hirtigluma,16,11,AFRICA
Dorstenia barnimiana,20,14,AFRICA
Justicia diffusa,29,25,"OCEANIA, AFRICA, ASIA"
Gardenia erubescens,39,18,AFRICA
Indigofera drepanocarpa,14,12,AFRICA
Baphia pubescens,105,47,AFRICA
Tieghemella heckelii,51,13,AFRICA
Lintonia brizoides,0,NA,NA
Psychotria hawthornei,2,2,AFRICA
Thelypteris pulcher,33,14,AFRICA
Moraea nubigena,1,1,AFRICA
Oberonia disticha,14,12,AFRICA
Cissus leemansii,15,4,AFRICA
Listia heterophylla,5,5,AFRICA
Dalbergia fouilloyana,14,9,AFRICA
Ichnanthus pallens,204,79,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA"
Crotalaria dolichonyx,7,4,
Acanthus latisepalus,12,7,AFRICA
Talinum crispatulum,3,3,AFRICA
Commiphora pedunculata,27,19,AFRICA
Erica ventricosa,0,NA,NA
Indigofera astragalina,35,22,AFRICA
Philenoptera nelsii,1,1,AFRICA
Schoenoplectus confusus,10,9,AFRICA
Merremia gorinii,1,1,AFRICA
Eggelingia clavata,2,2,AFRICA
Psorospermum glaberrimum,15,10,AFRICA
Psydrax moandensis,30,12,AFRICA
Sabicea exellii,0,NA,NA
Senecio sabinjoensis,23,9,AFRICA
Typhonium venosum,9,5,AFRICA
Rorippa palustris,334,277,"NORTH_AMERICA, OCEANIA, EUROPE"
Solanum marginatum,83,42,"SOUTH_AMERICA, AFRICA"
Buchnera quadrifaria,5,4,AFRICA
Croton dichogamus,34,19,AFRICA
Rytigynia longituba,0,NA,NA
Bullockia impressinervia,0,NA,NA
Phaeoptilum spinosum,9,7,AFRICA
Trichodesma angustifolium,12,9,AFRICA
Streptocarpus rhodesianus,3,3,AFRICA
Eulophia katangensis,2,1,
Bridelia duvigneaudii,7,7,AFRICA
Thunbergia gossweileri,11,10,
Achyranthes fasciculata,1,1,
Stenoglottis zambesiaca,9,3,AFRICA
Chassalia simplex,1,1,AFRICA
Aerangis ugandensis,29,13,AFRICA
Buchnera bukamensis,1,1,
Dichapetalum oliganthum,46,8,AFRICA
Raphionacme madiensis,2,2,AFRICA
Psychotria taitensis,0,NA,NA
Tapinanthus ophiodes,2,1,AFRICA
Cycnium veronicifolium,4,4,AFRICA
Peponium chirindense,4,4,AFRICA
Oxalis luteola,7,3,AFRICA
Tinospora bakis,13,6,AFRICA
Gnaphalium luteo-album,527,404,"OCEANIA, EUROPE, NORTH_AMERICA"
Viscum longiarticulatum,0,NA,NA
Cola laurifolia,59,33,AFRICA
Trachyandra hirsuta,2,1,AFRICA
Rinorea talbotii,34,15,AFRICA
Kleinia longiflora,10,8,AFRICA
Crassula alsinoides,37,26,AFRICA
Uvaria comperei,27,11,AFRICA
Ipomoea oenotherae,4,3,AFRICA
Sigesbeckia orientalis,446,331,"OCEANIA, SOUTH_AMERICA"
Campylospermum louisii,17,8,AFRICA
Barleria acanthoides,22,20,AFRICA
Commicarpus pedunculosus,18,15,AFRICA
Barleria submollis,7,5,AFRICA
Chloris pilosa,83,66,"AFRICA, OCEANIA"
Afrofittonia silvestris,14,13,AFRICA
Indigofera flavicans,10,6,AFRICA
Trichomanes chevalieri,11,9,AFRICA
Myosotis cameroonensis,0,NA,NA
Polystachya reticulata,1,NA,NA
Baphia semseiana,3,1,AFRICA
Buchnera decandollei,36,22,AFRICA
Enneapogon scoparius,12,10,AFRICA
Ozoroa engleri,10,6,AFRICA
Didelotia pauli-sitae,19,2,AFRICA
Blepharispermum spinulosum,4,2,AFRICA
Daniellia thurifera,26,13,AFRICA
Hyparrhenia cyanescens,26,18,AFRICA
Monechma cleomoides,11,8,AFRICA
Triaspis schliebenii,0,NA,NA
Najas horrida,6,4,AFRICA
Psilotrichum amplum,3,2,AFRICA
Cephalocroton mollis,7,6,AFRICA
Calycobolus parviflorus,50,17,AFRICA
Phaseolus lunatus,162,85,"OCEANIA, SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Hibiscus holstii,0,NA,NA
Polystichum wilsonii,32,17,AFRICA
Scyphocephalium mannii,33,16,AFRICA
Vernonia ambigua,63,42,AFRICA
Cleome schimperi,20,15,AFRICA
Ipomoea asarifolia,97,66,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA, ASIA"
Murdannia tenuissima,6,5,AFRICA
Chassalia elongata,5,4,AFRICA
Cyperus squarrosus,636,496,"OCEANIA, NORTH_AMERICA, SOUTH_AMERICA"
Gymnosporia arenicola,17,8,AFRICA
Rangaeris schliebenii,1,1,AFRICA
Solanum cordatum,3,3,AFRICA
Chironia transvaalensis,5,4,AFRICA
Garcinia bifasciculata,0,NA,NA
Plectranthus garckeanus,8,4,AFRICA
Sporobolus diffusus,1,1,AFRICA
Triumfetta dekindtiana,17,13,AFRICA
Trichomanes cupressoides,49,42,"AFRICA, ASIA"
Schizachyrium nodulosum,42,26,AFRICA
Streptocarpus saxorum,4,1,
Agrostis mannii,6,4,AFRICA
Indigofera brevifilamenta,9,8,AFRICA
Eriocaulon volkensii,1,1,AFRICA
Ficus scassellatii,5,4,AFRICA
Adenodolichos paniculatus,36,23,AFRICA
Berlinianche aethiopica,2,1,AFRICA
Bulbophyllum papillosum,NA,NA,NA
Strychnos afzelii,225,85,AFRICA
Hypericum annulatum,11,7,AFRICA
Psychotria orophila,35,17,AFRICA
Angraecopsis gracillima,9,3,AFRICA
Dicranolepis thomensis,2,1,AFRICA
Dissomeria crenata,1,1,
Ceropegia nigra,4,2,AFRICA
Cyperus pseudoleptocladus,24,19,AFRICA
Solanum panduriforme,1,1,
Delosperma nakurense,1,1,AFRICA
Dictyophleba leonensis,47,23,AFRICA
Limnophila barteri,15,11,AFRICA
Dalbergia bracteolata,28,18,AFRICA
Euphorbia subscandens,0,NA,NA
Gigasiphon gossweileri,18,9,AFRICA
Leptactina senegambica,4,4,AFRICA
Fockea angustifolia,4,3,AFRICA
Hyparrhenia collina,10,8,AFRICA
Combretum rabiense,40,13,AFRICA
Pycnocoma angustifolia,42,18,AFRICA
Mapania pynaertii,11,9,AFRICA
Azolla nilotica,13,10,AFRICA
Polystachya melliodora,0,NA,NA
Commelina lagosensis,31,22,AFRICA
Saintpaulia ionantha,11,11,"SOUTH_AMERICA, AFRICA"
Snowdenia polystachya,16,12,AFRICA
Secamone leonensis,14,5,AFRICA
Commelina congesta,60,35,AFRICA
Bulbophyllum ivorense,12,4,AFRICA
Eragrostis tef,7,5,"NORTH_AMERICA, AFRICA"
Helichrysum setosum,27,18,AFRICA
Cissus dewevrei,7,5,AFRICA
Geranium kilimandscharicum,2,2,AFRICA
Salacia cornifolia,68,21,AFRICA
Turraea robusta,16,10,AFRICA
Ctenium ledermannii,4,3,AFRICA
Lobelia holstii,23,16,AFRICA
Vepris fadenii,1,1,AFRICA
Chrysochloa hindsii,17,14,AFRICA
Searsia gracilipes,0,NA,NA
Xyris anceps,50,35,"SOUTH_AMERICA, AFRICA"
Gymnosporia mossambicensis,12,11,AFRICA
Marsilea macrocarpa,14,11,AFRICA
Adenolobus pechuelii,2,2,
Schizoglossum barbatum,0,NA,NA
Ipomoea cicatricosa,16,9,AFRICA
Micrococca volkensii,1,1,AFRICA
Commelina livingstonii,151,86,"NORTH_AMERICA, SOUTH_AMERICA"
Acalypha lanceolata,53,41,"OCEANIA, ASIA, AFRICA"
Cassia arereh,12,5,AFRICA
Summerhayesia laurentii,31,10,AFRICA
Chassalia nguemae,NA,NA,NA
Cynorkis buchananii,6,5,AFRICA
Carduus ellenbeckii,23,17,AFRICA
Lipocarpha filiformis,52,46,AFRICA
Heliotropium steudneri,31,30,AFRICA
Trichoscypha imbricata,32,12,AFRICA
Lindernia abyssinica,6,5,AFRICA
Schinus molle,251,156,"OCEANIA, SOUTH_AMERICA, EUROPE"
Habenaria welwitschii,29,11,AFRICA
Senecio rigidus,5,4,AFRICA
Sebaea macrophylla,4,3,AFRICA
Buchholzia coriacea,82,25,AFRICA
Encephalartos hildebrandtii,2,1,
Crotalaria leprieurii,47,31,AFRICA
Vernonia purpurea,19,6,
Schizachyrium ruderale,9,9,AFRICA
Dolichos oliveri,26,13,AFRICA
Kinghamia nigritana,43,29,AFRICA
Gardenia aqualla,31,25,AFRICA
Erythrocephalum setulosum,4,4,AFRICA
Hibiscus sidiformis,22,17,AFRICA
Echinops longisetus,2,1,AFRICA
Polygala bakeriana,12,5,AFRICA
Trichomanes lenormandii,5,3,AFRICA
Melinis effusa,1,1,AFRICA
Carpodiptera africana,6,5,AFRICA
Wilczekra congolensis,6,5,AFRICA
Hypoxis suffruticosa,1,1,AFRICA
Phoenix caespitosa,0,NA,NA
Aframomum alboviolaceum,57,25,AFRICA
Mikaniopsis bambuseti,0,NA,NA
Emilia discifolia,38,27,AFRICA
Lastreopsis vogelii,10,5,AFRICA
Millettia theuszii,31,13,AFRICA
Asparagus racemosus,251,190,"OCEANIA, AFRICA, ASIA"
Bidens rueppellii,1,1,AFRICA
Aristida chrysochlaena,0,NA,NA
Commiphora kua,35,28,AFRICA
Aloe leachii,0,NA,NA
Crotalaria kipilaensis,11,8,
Entada africana,90,52,AFRICA
Hyparrhenia arrhenobasis,7,6,AFRICA
Rothmannia munsae,47,14,AFRICA
Loudetia vanderystii,8,8,AFRICA
Moraea schimperi,36,20,AFRICA
Protea elliotii,59,40,AFRICA
Vepris amaniensis,0,NA,NA
Scaevola taccada,225,151,OCEANIA
Eugenia tanaensis,0,NA,NA
Brachiaria stigmatisata,26,19,AFRICA
Calpocalyx aubrevillei,29,8,AFRICA
Tephrosia obbiadensis,0,NA,NA
Erythrina brucei,20,10,AFRICA
Disperis reichenbachiana,28,14,AFRICA
Limnophila ceratophylloides,5,4,AFRICA
Cynometra ananta,32,10,AFRICA
Hugonia talbotii,0,NA,NA
Tragia platycalyx,1,1,AFRICA
Helichrysum splendidum,43,31,AFRICA
Trianthema parvifolia,6,6,AFRICA
Actiniopteris radiata,31,27,AFRICA
Grewia microcarpa,6,6,AFRICA
Polystachya parva,4,2,
Adenodolichos punctatus,3,2,
Blepharis grandis,17,9,AFRICA
Schefflera lukwangulensis,0,NA,NA
Jamesbrittenia concinna,1,1,AFRICA
Afrosciadium articulatum,0,NA,NA
Sesbania goetzei,8,5,AFRICA
Boswellia sacra,7,6,AFRICA
Heckeldora jongkindii,18,3,AFRICA
Impatiens kilimanjari,0,NA,NA
Barleria lactiflora,4,4,AFRICA
Andropogon canaliculatus,40,29,AFRICA
Nothosaerva brachiata,13,13,AFRICA
Commiphora acuminata,2,2,AFRICA
Habenaria pauper,16,5,
Rinorea aylmeri,24,14,AFRICA
Lintonia nutans,7,7,AFRICA
Aristida triticoides,5,5,AFRICA
Hugonia gilletii,6,6,AFRICA
Feliciadamia stenocarpa,0,NA,NA
Lotus goetzei,24,10,AFRICA
Pachycarpus firmus,1,1,AFRICA
Lobelia trullifolia,20,11,AFRICA
Sterculia quinqueloba,39,29,AFRICA
Uvaria scabrida,68,29,AFRICA
Paurolepis filifolia,4,1,AFRICA
Penianthus patulinervis,89,25,AFRICA
Justicia interrupta,NA,NA,NA
Trifolium quartinianum,8,7,AFRICA
Viscum tenue,0,NA,NA
Costus phaeotrichus,59,22,"AFRICA, EUROPE"
Vernonia stenostegia,2,2,AFRICA
Eriosema psiloblepharum,0,NA,NA
Synsepalum ntimii,2,2,AFRICA
Diospyros senensis,24,21,AFRICA
Cyperus compressus,197,140,"SOUTH_AMERICA, OCEANIA, NORTH_AMERICA, AFRICA"
Ceratotheca sesamoides,82,59,AFRICA
Chlorophytum tenerrimum,0,NA,NA
Hyparrhenia glabriuscula,20,15,AFRICA
Cyperus dilatatus,75,62,AFRICA
Vernonia nestor,34,23,AFRICA
Crossandra pungens,3,3,AFRICA
Crotalaria impressa,7,4,AFRICA
Eriochrysis purpurata,1,1,AFRICA
Hyparrhenia subplumosa,123,64,AFRICA
Hydrocotyle ranunculoides,200,116,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA, EUROPE, OCEANIA"
Maerua holstii,4,3,AFRICA
Wahlenbergia undulata,26,19,AFRICA
Terminalia avicennioides,92,50,AFRICA
Dissotis polyantha,0,NA,NA
Dactyloctenium scindicum,24,21,AFRICA
Kalanchoe obtusa,1,1,
Ledermanniella schlechteri,6,4,AFRICA
Macledium poggei,3,3,AFRICA
Disa fragrans,10,7,AFRICA
Indigofera schimperi,46,34,AFRICA
Eucomis autumnalis,10,6,AFRICA
Petiveria alliacea,238,106,"SOUTH_AMERICA, NORTH_AMERICA"
Pseuderanthemum hildebrandtii,13,7,AFRICA
Annickia pilosa,13,3,AFRICA
Vitex thonneri,7,3,AFRICA
Erythrina latissima,2,2,AFRICA
Parinari hypochrysea,9,6,AFRICA
Delamerea procumbens,0,NA,NA
Bulbophyllum bufo,163,79,AFRICA
Cycnium erectum,10,7,AFRICA
Crotalaria glaucoides,1,1,AFRICA
Tridactyle tricuspis,7,5,AFRICA
Culcasia orientalis,4,3,AFRICA
Thelypteris afra,36,18,AFRICA
Sericocomopsis hildebrandtii,8,7,AFRICA
Disa walleri,11,7,
Salacia senegalensis,61,31,AFRICA
Eurypetalum unijugum,13,3,AFRICA
Melhania forbesii,36,24,AFRICA
Ipomoea adenioides,4,4,AFRICA
Impatiens hochstetteri,80,41,AFRICA
Eragrostis egregia,2,2,AFRICA
Gonioma kamassi,3,3,AFRICA
Otostegia tomentosa,35,20,AFRICA
Polystachya obanensis,4,4,AFRICA
Oeceoclades maculata,103,65,"SOUTH_AMERICA, AFRICA"
Micklethwaitia carvalhoi,11,7,AFRICA
Muraltia hirsuta,1,1,AFRICA
Crotalaria peschiana,13,5,AFRICA
Dichrostachys kirkii,0,NA,NA
Pentanema indicum,52,40,"AFRICA, ASIA"
Satyrium sphaerocarpum,5,2,AFRICA
Boswellia frereana,0,NA,NA
Andropogon distachyos,48,32,"EUROPE, AFRICA"
Melastomastrum theifolium,25,19,AFRICA
Phyllanthus mieschii,13,12,
Limnophila indica,25,22,"AFRICA, OCEANIA, ASIA"
Vernonia bruceae,0,NA,NA
Linderniella hartlii,3,3,
Cynorkis compacta,1,1,AFRICA
Asparagus usambarensis,0,NA,NA
Ficinia elatior,1,1,AFRICA
Najas graminea,49,43,"OCEANIA, AFRICA, ASIA"
Ipomoea paolii,0,NA,NA
Erythrococca molleri,27,NA,NA
Schoenoplectiella juncea,13,12,AFRICA
Rhytachne triaristata,54,44,AFRICA
Orthosiphon schimperi,10,6,AFRICA
Sida spinosa,562,411,"NORTH_AMERICA, OCEANIA, SOUTH_AMERICA, EUROPE, AFRICA"
Suregada procera,0,NA,NA
Smodingium argutum,10,3,AFRICA
Elephantopus senegalensis,12,9,AFRICA
Senecio keniophytum,1,1,AFRICA
Cleistanthus pierlotii,4,3,
Barbeya oleoides,1,1,
Trichaulax mwasumbii,0,NA,NA
Phyllanthus urinaria,192,124,"SOUTH_AMERICA, NORTH_AMERICA, OCEANIA"
Indigofera ormocarpoides,7,7,AFRICA
Crinum stuhlmannii,11,5,AFRICA
Helichrysum adenocarpum,2,1,AFRICA
Andira inermis,242,141,"SOUTH_AMERICA, NORTH_AMERICA"
Indigofera erythrogramma,14,8,AFRICA
Justicia fittonioides,1,1,AFRICA
Carduus chamaecephalus,23,17,AFRICA
Pseuderanthemum subviscosum,69,46,AFRICA
Pseudoconyza viscosa,113,62,"NORTH_AMERICA, AFRICA, SOUTH_AMERICA"
Wormskioldia pilosa,24,20,AFRICA
Xylopia staudtii,83,36,AFRICA
Indigofera taborensis,0,NA,NA
Indigofera longibarbata,15,6,AFRICA
Carex mildbraediana,17,10,AFRICA
Festuca africana,25,10,AFRICA
Maerua grantii,4,3,AFRICA
Heliotropium scotteae,1,1,AFRICA
Ammocharis tinneana,15,9,AFRICA
Barleria grandipetala,10,7,AFRICA
Ophiocolea floribunda,19,11,AFRICA
Psychotria callensii,35,14,AFRICA
Adenolobus garipensis,14,9,AFRICA
Abutilon ramosum,21,15,AFRICA
Hemionitis perlanata,NA,NA,NA
Helinus ovatus,52,40,AFRICA
Buchnera leptostachya,26,22,AFRICA
Plectranthus montanus,30,20,AFRICA
Ficus verruculosa,33,24,AFRICA
Crotalaria stuhlmannii,3,3,AFRICA
Launaea amal-aminae,1,1,AFRICA
Barleria longissima,3,2,AFRICA
Ypsilopus longifolia,1,1,AFRICA
Eragrostis viscosa,19,17,"AFRICA, SOUTH_AMERICA"
Ocimum filamentosum,34,29,AFRICA
Habenaria huillensis,40,18,AFRICA
Mussaenda afzelii,75,40,AFRICA
Chamaecrista zambesica,5,4,AFRICA
Parochetus communis,43,27,"AFRICA, ASIA"
Millettia puguensis,0,NA,NA
Bauhinia galpinii,64,46,"OCEANIA, SOUTH_AMERICA, AFRICA, ASIA"
Bergia suffruticosa,31,22,AFRICA
Baikiaea ghesquiereana,0,NA,NA
Melanthera rhombifolia,26,17,AFRICA
Lampranthus scaber,3,2,AFRICA
Senecio glaucus,37,26,"AFRICA, ASIA"
Stylochaeton hypogaeus,21,11,AFRICA
Blepharis mitrata,3,2,AFRICA
Cirsium schimperi,16,10,AFRICA
Vernonia theophrastifolia,24,14,AFRICA
Anisophyllea meniaudii,20,14,AFRICA
Cussonia holstii,33,13,AFRICA
Mesembryanthemum barklyi,1,1,AFRICA
Chytranthus setosus,32,14,AFRICA
Dorstenia cuspidata,41,28,AFRICA
Polystachya stricta,34,22,AFRICA
Aframomum limbatum,45,15,AFRICA
Scirpus setaceus,NA,NA,NA
Dolichos glabratus,1,1,
Erica rossii,6,4,AFRICA
Crotalaria plowdenii,15,7,AFRICA
Maerua eminii,0,NA,NA
Vitex strickeri,10,9,AFRICA
Pycreus okavangensis,1,1,
Carduus silvarum,3,2,AFRICA
Tephrosia deflexa,2,2,AFRICA
Erica berghiana,14,6,AFRICA
Uapaca gossweileri,10,6,AFRICA
Cyphia linarioides,3,3,AFRICA
Solanum distichum,117,89,"SOUTH_AMERICA, AFRICA"
Anginon verticillatum,1,1,AFRICA
Indigofera cordifolia,22,16,"AFRICA, OCEANIA, ASIA"
Eriospermum triphyllum,3,2,AFRICA
Euphorbia hirsuta,23,13,"AFRICA, EUROPE"
Hirpicium bechuanense,2,2,AFRICA
Launaea capitata,7,5,"AFRICA, ASIA"
Delonix elata,37,17,AFRICA
Amaranthus viridis,NA,NA,NA
Stachyothyrsus stapfiana,32,13,AFRICA
Chrysophyllum viridifolium,4,3,AFRICA
Sphaerocodon caffrum,12,11,AFRICA
Greyia sutherlandii,4,2,AFRICA
Helichrysum buchananii,9,6,AFRICA
Rydingia integrifolia,15,9,AFRICA
Homalium dewevrei,47,20,AFRICA
Chassalia inflata,28,12,AFRICA
Osteospermum nervosum,2,1,AFRICA
Aristida hordeacea,75,50,AFRICA
Hibiscus owariensis,10,9,AFRICA
Dolichos pseudocomplanatus,1,1,
Gambeya fulvum,NA,NA,NA
Pycnostachys kassneri,17,13,AFRICA
Indigofera omissa,8,6,AFRICA
Memecylon myrtilloides,1,1,
Crotalaria nigricans,4,3,AFRICA
Telfairia pedata,8,6,AFRICA
Aeollanthus myrianthus,9,7,AFRICA
Dicoma capensis,4,3,AFRICA
Sporobolus bechuanicus,0,NA,NA
Itasina filifolia,1,1,
Indigofera stenophylla,75,57,AFRICA
Triraphis ramosissima,2,2,AFRICA
Artabotrys velutinus,37,20,AFRICA
Kohautia tenuis,78,51,AFRICA
Emilia leucantha,1,1,AFRICA
Renealmia polypus,5,4,AFRICA
Neolemonniera batesii,7,3,AFRICA
Bulbophyllum distans,NA,NA,NA
Cylicomorpha parviflora,1,1,
Crotalaria axillifloroides,19,14,
Aeschynomene nyassana,17,17,AFRICA
Indigofera concinna,0,NA,NA
Celosia globosa,28,22,AFRICA
Lobostemon fruticosus,11,8,AFRICA
Amorphophallus doryphorus,0,NA,NA
Lebeckia simsiana,1,1,AFRICA
Millettia kennedyi,38,17,AFRICA
Tridactyle tridentata,18,10,AFRICA
Oldenlandia chevalieri,0,NA,NA
Rotheca incisa,18,10,AFRICA
Sphenocentrum jollyanum,53,23,AFRICA
Xyris anisophylla,8,6,
Baphia kirkii,11,8,AFRICA
Ceropegia achtenii,4,3,AFRICA
Dracaena draco,75,26,"AFRICA, EUROPE, OCEANIA"
Adelostigma senegalense,1,1,AFRICA
Brachystelma circinatum,2,2,AFRICA
Plectranthus sanguineus,2,2,AFRICA
Eriosema afzelii,8,7,AFRICA
Plectranthus swynnertonii,4,2,AFRICA
Dactyladenia mannii,0,NA,NA
Pyrrosia schimperiana,12,11,AFRICA
Ventilago diffusa,4,1,AFRICA
Phyllanthus somalensis,1,1,AFRICA
Plectranthus mandalensis,0,NA,NA
Uvaria thomasii,7,3,AFRICA
Digitaria delicatula,34,21,AFRICA
Erica milanjiana,0,NA,NA
