tax_sp_level,nbe_occ_gbif,nbe_loc_gbif,list_continents_gbif
Rhipidoglossum bilobatum,26,12,AFRICA
Campylospermum reticulatum,358,161,AFRICA
Aptandra zenkeri,91,48,AFRICA
Rhopalopilia pallens,32,9,AFRICA
Dalbergia grandibracteata,42,13,AFRICA
Heterosamara engleri,59,19,AFRICA
Clitoriopsis mollis,5,3,
Dalbergia saxatilis,270,130,AFRICA
Angylocalyx pynaertii,57,25,AFRICA
Zanthoxylum laurentii,32,9,
Cola sciaphila,22,7,AFRICA
Cola pierlotii,59,12,
Bersama yangambiensis,24,9,
Beilschmiedia variabilis,70,26,AFRICA
Casearia michelsonii,5,4,
Rinorea rudolphiana,2,2,
Cissus petiolata,151,89,AFRICA
Ranunculus oreophytus,42,17,AFRICA
Cassipourea leptoneura,21,7,AFRICA
Copaifera mildbraedii,55,21,AFRICA
Placodiscus resendeanus,6,2,AFRICA
Erythrococca subspicata,12,8,AFRICA
Pterocarpus officinalis,133,66,"SOUTH_AMERICA, NORTH_AMERICA"
Pityrogramma humbertii,0,NA,NA
Elaphoglossum kivuense,20,5,AFRICA
Millettia urophylloides,12,2,AFRICA
Peperomia dubia,6,5,
Ritchiea quarrei,16,4,AFRICA
Crotalaria oxyphylla,15,6,AFRICA
Blepharis buchneri,92,66,AFRICA
Brachystephanus africanus,95,45,AFRICA
Whitfieldia liebrechtsiana,4,4,
Thunbergia vogeliana,61,35,AFRICA
Thunbergia mildbraediana,27,18,AFRICA
Thunbergia usambarica,14,10,AFRICA
Thunbergia manikensis,54,35,AFRICA
Thunbergia angolensis,7,7,AFRICA
Thunbergia lancifolia,119,80,AFRICA
Thunbergia subcordatifolia,13,12,AFRICA
Thunbergia bianoensis,7,6,
Thunbergia masisiensis,6,5,
Barleria villosa,17,15,AFRICA
Blepharis stuhlmannii,40,23,AFRICA
Brachystephanus myrmecophilus,17,9,AFRICA
Commelina scaposa,18,14,AFRICA
Mimulopsis excellens,16,11,AFRICA
Barleria ventricosa,100,75,AFRICA
Justicia eminii,27,19,
Anisosepalum alboviolaceum,77,44,AFRICA
Mimulopsis solmsii,115,64,AFRICA
Thunbergia verdcourtii,9,7,
Pseuderanthemum albocoeruleum,69,46,AFRICA
Justicia tutukuensis,3,1,AFRICA
Anisotes macrophyllus,41,26,AFRICA
Phaulopsis imbricata,332,208,"AFRICA, ASIA"
Phaulopsis latiloba,3,2,
Monechma depauperatum,108,72,AFRICA
Justicia subsessilis,113,65,AFRICA
Phaulopsis angolana,153,103,AFRICA
Monothecium glandulosum,27,22,AFRICA
Justicia grandis,119,75,AFRICA
Sclerochiton nitidus,22,12,AFRICA
Strobilanthopsis linifolia,58,30,AFRICA
Sclerochiton vogelii,103,64,AFRICA
Thomandersia congolana,135,91,AFRICA
Whitfieldia brazzaei,3,NA,NA
Rungia congoensis,80,49,AFRICA
Rhinacanthus virens,206,139,AFRICA
Pseuderanthemum tunicatum,267,175,AFRICA
Pseuderanthemum ludovicianum,249,148,AFRICA
Ruspolia seticalyx,7,6,AFRICA
Stenandrium guineense,153,105,AFRICA
Ruellia patula,106,87,AFRICA
Asystasia mysurensis,0,NA,NA
Asystasia vogeliana,196,124,AFRICA
Barleria descampsii,26,17,AFRICA
Blepharis burundiensis,3,1,AFRICA
Blepharis cuanzensis,51,18,AFRICA
Blepharis glumacea,23,17,AFRICA
Brillantaisia lamium,223,134,"OCEANIA, AFRICA"
Dyschoriste nagchana,190,133,"OCEANIA, AFRICA, ASIA"
Hygrophila pilosa,38,24,AFRICA
Elytraria marginata,220,150,AFRICA
Scilla achtenii,6,5,AFRICA
Justicia flava,274,180,AFRICA
Justicia exigua,111,64,AFRICA
Nelsonia smithii,785,528,"OCEANIA, NORTH_AMERICA, SOUTH_AMERICA, AFRICA, ASIA"
Dicliptera hensii,20,12,AFRICA
Nelsonia canescens,785,528,"OCEANIA, NORTH_AMERICA, SOUTH_AMERICA, AFRICA, ASIA"
Impatiens briartii,130,33,AFRICA
Impatiens assurgens,99,59,AFRICA
Justicia phyllostachys,58,40,AFRICA
Lankesteria elegans,187,108,"SOUTH_AMERICA, AFRICA"
Justicia unyorensis,66,46,AFRICA
Justicia toroensis,10,6,
Kosmosiphon azureus,9,8,AFRICA
Justicia striata,235,163,AFRICA
Lepidagathis alopecuroides,5,3,SOUTH_AMERICA
Lepidagathis andersoniana,38,24,AFRICA
Mendoncia gilgiana,132,73,AFRICA
Lepidagathis lanatoglabra,22,17,AFRICA
Mendoncia lindaviana,101,58,AFRICA
Metarungia lukafuensis,NA,NA,NA
Mimulopsis runssorica,6,4,
Phaulopsis micrantha,56,36,AFRICA
Phaulopsis aequivoca,9,6,AFRICA
Rhinacanthus nasutus,13,12,"AFRICA, ASIA"
Ruellia togoensis,9,6,AFRICA
Justicia paxiana,102,66,AFRICA
Ruellia praetermissa,34,23,AFRICA
Ascolepis neglecta,2,2,
Bulbostylis kanongaensis,1,1,
Commelina corbisieri,3,2,
Commelina homblei,2,1,
Commelina kilanga,3,2,
Commelina reygaertii,2,1,
Commelina subscabrifolia,2,1,
Commelina transversifolia,2,1,
Commelina vermoesenii,2,1,
Amorphophallus lewallei,3,2,
Carpha angustissima,13,4,
Aponogeton bogneri,2,1,
Thunbergia erecta,93,59,"NORTH_AMERICA, SOUTH_AMERICA, AFRICA, ASIA"
Acanthus polystachyus,49,37,AFRICA
Acanthus ueleensis,37,25,AFRICA
Thunbergia gregorii,37,25,AFRICA
Thunbergia petersiana,53,41,AFRICA
Acanthus mayaccanus,41,23,AFRICA
Impatiens stuhlmannii,147,64,AFRICA
Impatiens gossweileri,18,10,AFRICA
Impatiens gesneroidea,102,17,AFRICA
Hemionitis prolifera,90,62,"OCEANIA, AFRICA, ASIA"
Hua gabonii,85,26,AFRICA
Psychotria nigropunctata,284,53,AFRICA
Digitaria incisa,2,1,
Schizachyrium yangambiense,12,4,AFRICA
Sacciolepis seslerioides,23,14,AFRICA
Chlorophytum amplexicaule,125,88,AFRICA
Gladiolus linearifolius,1,1,
Asparagus sapinii,1,1,
Lapeirousia teretifolia,5,3,AFRICA
Monodora angolensis,80,36,AFRICA
Ensete homblei,4,1,
Ensete livingstonianum,13,4,AFRICA
Scilla ledienii,2,1,
Scilla katendensis,2,1,
Angraecum mofakoko,11,4,
Habenaria falciloba,4,3,
Habenaria bequaertii,9,2,
Polystachya leonardiana,2,1,
Polystachya cribbiana,11,2,AFRICA
Tridactyle fimbriatipetala,4,1,
Xyris dissimilis,7,7,AFRICA
Siphonochilus puncticulatus,4,2,
Xylopia congolensis,1,1,
