"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Conyza pallidiflora",70548,12,4,NA,"3","1","EN","EN B2a","40","EN","LC or NT"
"Conyza pinnata",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Conyza pinnatifida",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Conyza podocephala",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Conyza pyrrhopappa",7910115,464,118,NA,"105","20","LC or NT","LC or NT B1a+B2a","23","LC or NT","LC or NT"
"Conyza schimperi",323225,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Conyza spinosa",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Conyza steudelii",4650365,96,24,NA,"21","7","LC or NT","LC or NT B1a+B2a","44","LC or NT","LC or NT"
"Conyza stricta",10602136,184,46,NA,"46","7","LC or NT","LC or NT B1a+B2a","17.6","LC or NT","LC or NT"
"Conyza subscaposa",5330026,160,41,NA,"30","7","LC or NT","LC or NT B1a+B2a","39.2","LC or NT","LC or NT"
"Conyza tigrensis",1358628,56,14,NA,"13","3","LC or NT","LC or NT B1a+B2a","23.5","LC or NT","LC or NT"
"Conyza ulmifolia",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Conyza variegata",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Conyza vernonioides",640698,32,8,NA,"8","3","VU","VU B2a","37.5","VU","LC or NT"
"Conyza welwitschii",3308592,108,28,NA,"24","6","LC or NT","LC or NT B1a+B2a","35.7","LC or NT","LC or NT"
"Copaifera baumiana",322925,60,15,NA,"14","2","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Copaifera mildbraedii",1959852,216,57,NA,"41","7","LC or NT","LC or NT B1a+B2a","41","LC or NT","LC or NT"
"Copaifera religiosa",144274,124,32,NA,"26","3","LC or NT","LC or NT B1a+B2a","15.2","LC or NT","LC or NT"
"Copaifera salikounda",542020,164,41,NA,"37","7","LC or NT","LC or NT B1a+B2a","20.5","LC or NT","LC or NT"
"Coptosperma graveolens",2907976,852,215,NA,"185","22","LC or NT","LC or NT B1a+B2a","21.5","LC or NT","LC or NT"
"Coptosperma kibuwae",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Coptosperma littorale",1032086,296,76,NA,"60","2","LC or NT","LC or NT B1a+B2a","5.4","LC or NT","LC or NT"
"Coptosperma neurophyllum",1875806,432,108,NA,"98","15","LC or NT","LC or NT B1a+B2a","18.5","LC or NT","LC or NT"
"Coptosperma nigrescens",1023622,96,26,NA,"22","3","LC or NT","LC or NT B1a+B2a","10.3","LC or NT","LC or NT"
"Coptosperma peteri",106250,28,7,NA,"7","1","VU","VU B2a","14.3","VU","LC or NT"
"Coptosperma rhodesiacum",644775,124,32,NA,"28","2","LC or NT","LC or NT B1a+B2a","6.8","LC or NT","LC or NT"
"Coptosperma somaliense",132,8,4,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Coptosperma supra-axillare",1378567,312,78,NA,"76","6","LC or NT","LC or NT B1a+B2a","9.3","LC or NT","LC or NT"
"Coptosperma wajirense",42,8,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Coptosperma zygoon",418219,72,18,NA,"17","2","LC or NT","LC or NT B1a+B2a","13","LC or NT","LC or NT"
"Corallocarpus bainesii",710695,28,7,NA,"7","3","VU","VU B2a","42.9","VU","LC or NT"
"Corallocarpus boehmii",31272,12,3,NA,"3","1","EN","EN B2a","33.3","EN","LC or NT"
"Corallocarpus dissectus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Corallocarpus ellipticus",8090,24,6,NA,"6","0","VU","VU B1a+B2a","0","VU","VU"
"Corallocarpus epigaeus",2246242,44,11,NA,"11","2","LC or NT","LC or NT B1a+B2a","18.2","LC or NT","LC or NT"
"Corallocarpus schimperi",31922,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Corallocarpus schinzii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Corallocarpus welwitschii",59206,12,3,NA,"3","1","EN","EN B2a","33.3","EN","LC or NT"
"Corbichonia decumbens",5868406,112,28,NA,"26","2","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Corbichonia rubriviolacea",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Corchorus aestuans",11137071,200,50,NA,"47","8","LC or NT","LC or NT B1a+B2a","21.8","LC or NT","LC or NT"
"Corchorus africanus",173,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Corchorus angolensis",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Corchorus asplenifolius",538134,32,8,NA,"8","1","VU","VU B2a","12.5","VU","LC or NT"
"Corchorus baldaccii",7167,12,3,NA,"3","1","EN","EN B2a","33.3","EN","VU"
"Corchorus brevicornutus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Corchorus confusus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Corchorus depressus",1830786,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Corchorus fascicularis",7292596,92,23,NA,"22","6","LC or NT","LC or NT B1a+B2a","28","LC or NT","LC or NT"
"Corchorus gillettii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Corchorus junodii",41952,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Corchorus olitorius",13196853,284,71,NA,"69","8","LC or NT","LC or NT B1a+B2a","11","LC or NT","LC or NT"
"Corchorus pseudo-olitorius",NA,4,2,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Corchorus pseudocapsularis",312119,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Corchorus saxatilis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Corchorus schimperi",1339243,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Corchorus tridens",15124767,180,45,NA,"45","6","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Corchorus trilocularis",19584471,156,40,NA,"38","5","LC or NT","LC or NT B1a+B2a","11.4","LC or NT","LC or NT"
"Corchorus urticifolius",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cordeauxia edulis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Cordia africana",13022463,412,105,NA,"94","11","LC or NT","LC or NT B1a+B2a","12.8","LC or NT","LC or NT"
"Cordia aurantiaca",1649415,208,55,NA,"41","6","LC or NT","LC or NT B1a+B2a","9.2","LC or NT","LC or NT"
"Cordia balanocarpa",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Cordia caffra",9325,16,4,NA,"4","0","EN","EN B2a","0","EN","VU"
"Cordia chaetodonta",1031,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Cordia crenata",9289334,48,12,NA,"12","2","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Cordia dewevrei",1150772,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Cordia ellenbeckii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Cordia faulknerae",60456,72,19,NA,"16","3","LC or NT","LC or NT B1a+B2a","19","LC or NT","LC or NT"
"Cordia fissistyla",332,12,4,NA,"3","1","EN","EN B1a+B2a","66.7","EN","EN"
"Cordia gilletii",3734,24,6,NA,"5","0","EN","EN B1a+B2a","0","EN","EN"
"Cordia goetzei",504496,92,24,NA,"23","7","LC or NT","LC or NT B1a+B2a","37","LC or NT","LC or NT"
"Cordia guineensis",2767145,80,22,NA,"19","4","LC or NT","LC or NT B1a+B2a","26.7","LC or NT","LC or NT"
"Cordia longipetiolata",29,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Cordia millenii",3844603,96,24,NA,"24","4","LC or NT","LC or NT B1a+B2a","17.9","LC or NT","LC or NT"
"Cordia monoica",8158098,200,50,NA,"49","6","LC or NT","LC or NT B1a+B2a","11.3","LC or NT","LC or NT"
"Cordia mukuensis",43104,24,6,NA,"6","1","VU","VU B2a","16.7","VU","LC or NT"
"Cordia myxa",3652518,64,16,NA,"16","4","LC or NT","LC or NT B1a+B2a","26.3","LC or NT","LC or NT"
"Cordia peteri",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Cordia pilosissima",803045,32,8,NA,"8","2","VU","VU B2a","25","VU","LC or NT"
"Cordia platythyrsa",2603914,140,35,NA,"35","2","LC or NT","LC or NT B1a+B2a","4.7","LC or NT","LC or NT"
"Cordia quercifolia",600820,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Cordia senegalensis",1316103,60,15,NA,"15","4","LC or NT","LC or NT B1a+B2a","27.8","LC or NT","LC or NT"
"Cordia sinensis",19272566,440,115,NA,"100","18","LC or NT","LC or NT B1a+B2a","23.7","LC or NT","LC or NT"
"Cordia somaliensis",38235,48,12,NA,"10","1","VU","VU B2a","7.7","VU","LC or NT"
"Cordia stenoloba",29026,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Cordia subcordata",77381,56,15,NA,"14","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Cordia suckertii",14894,40,10,NA,"9","0","VU","VU B1a+B2a","0","VU","VU"
"Cordia tisserantii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cordia torrei",67053,32,8,NA,"6","1","VU","VU B2a","11.1","VU","LC or NT"
"Cordia trichocladophylla",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Cordia uncinulata",196970,20,5,NA,"4","1","EN","EN B2a","40","EN","LC or NT"
"Cordia vignei",1820511,52,13,NA,"13","1","LC or NT","LC or NT B1a+B2a","6.2","LC or NT","LC or NT"
"Cordyla africana",10075044,88,22,NA,"21","3","LC or NT","LC or NT B1a+B2a","13","LC or NT","LC or NT"
"Cordyla densiflora",21183,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","6.7","LC or NT","LC or NT"
"Cordyla pinnata",456100,40,10,NA,"10","1","VU","VU B2a","9.1","VU","LC or NT"
"Cordyla somalensis",10936,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Cordyline fruticosa",496549,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Cordylostigma longifolium",1366877,80,20,NA,"20","2","LC or NT","LC or NT B1a+B2a","9.5","LC or NT","LC or NT"
"Cordylostigma obtusilobum",241857,100,25,NA,"25","1","LC or NT","LC or NT B1a+B2a","3.6","LC or NT","LC or NT"
"Cordylostigma prolixipes",31818,16,5,NA,"4","1","EN","EN B2a","20","EN","LC or NT"
"Cordylostigma stellarioides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cordylostigma virgatum",13183847,120,30,NA,"30","1","LC or NT","LC or NT B1a+B2a","2.6","LC or NT","LC or NT"
"Coreopsis monticola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cornus volkensii",1152619,144,37,NA,"30","17","LC or NT","LC or NT B1a+B2a","62.2","LC or NT","LC or NT"
"Corrigiola capensis",361442,24,6,NA,"6","2","VU","VU B2a","33.3","VU","LC or NT"
"Corrigiola drymarioides",108760,72,21,NA,"9","2","VU","VU B2a","62.5","VU","LC or NT"
"Corrigiola litoralis",250950,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Corrigiola paniculata",387767,20,5,NA,"3","2","EN","EN B2a","80","EN","LC or NT"
"Corycium nigrescens",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Corydalis cornuta",423177,28,7,NA,"5","2","EN","EN B2a","57.1","EN","LC or NT"
"Corymbium africanum",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Corymbium glabrum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Corymborkis corymbis",4976487,248,62,NA,"56","14","LC or NT","LC or NT B1a+B2a","26.1","LC or NT","LC or NT"
"Corymborkis minima",11622,32,10,NA,"4","2","EN","EN B2a","72.7","EN","VU"
"Corynanthe mayumbensis",233242,268,70,NA,"51","2","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Corynanthe pachyceras",3357950,464,119,NA,"102","19","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Corynanthe paniculata",1550676,96,24,NA,"23","1","LC or NT","LC or NT B1a+B2a","5.5","LC or NT","LC or NT"
"Costus afer",14117518,1356,342,NA,"307","40","LC or NT","LC or NT B1a+B2a","18.2","LC or NT","LC or NT"
"Costus albiflos",59184,36,9,NA,"8","1","VU","VU B2a","11.1","VU","LC or NT"
"Costus aureus",271680,172,46,NA,"36","7","LC or NT","LC or NT B1a+B2a","32.1","LC or NT","LC or NT"
"Costus bicolor",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Costus deistelii",230850,92,24,NA,"20","6","LC or NT","LC or NT B1a+B2a","50","LC or NT","LC or NT"
"Costus dendrophilus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Costus dewevrei",2018305,104,26,NA,"25","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Costus dinklagei",520525,160,41,NA,"36","7","LC or NT","LC or NT B1a+B2a","27.1","LC or NT","LC or NT"
"Costus dubius",9554426,724,182,NA,"169","32","LC or NT","LC or NT B1a+B2a","23.2","LC or NT","LC or NT"
"Costus fenestralis",24582,32,8,NA,"6","1","VU","VU B2a","25","VU","LC or NT"
"Costus fissiligulatus",89079,20,6,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Costus foliaceus",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Costus gabonensis",63342,80,23,NA,"17","2","LC or NT","LC or NT B1a+B2a","16","LC or NT","LC or NT"
"Costus giganteus",4560,44,12,NA,"7","1","VU","VU B1a+B2a","6.7","VU","VU"
"Costus kupensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Costus lateriflorus",324437,148,39,NA,"36","5","LC or NT","LC or NT B1a+B2a","15","LC or NT","LC or NT"
"Costus ledermannii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Costus letestui",1015559,132,33,NA,"26","3","LC or NT","LC or NT B1a+B2a","30.8","LC or NT","LC or NT"
"Costus ligularis",279648,184,47,NA,"44","4","LC or NT","LC or NT B1a+B2a","7.4","LC or NT","LC or NT"
"Costus lilaceus",1699740,116,32,NA,"27","3","LC or NT","LC or NT B1a+B2a","11.8","LC or NT","LC or NT"
"Costus littoralis",66910,12,3,NA,"3","1","EN","EN B2a","33.3","EN","LC or NT"
"Costus loangensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Costus lucanusianus",8674850,1060,272,NA,"244","23","LC or NT","LC or NT B1a+B2a","11.2","LC or NT","LC or NT"
"Costus maboumiensis",374232,40,12,NA,"9","1","VU","VU B2a","7.7","VU","LC or NT"
"Costus macranthus",1914666,276,69,NA,"65","6","LC or NT","LC or NT B1a+B2a","8.6","LC or NT","LC or NT"
"Costus maculatus",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Costus nimba",467979,40,10,NA,"10","2","VU","VU B2a","18.2","VU","LC or NT"
"Costus nudicaulis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Costus phaeotrichus",31336,28,8,NA,"6","2","VU","VU B2a","40","VU","LC or NT"
"Costus phyllocephalus",4704303,552,142,NA,"128","9","LC or NT","LC or NT B1a+B2a","7.6","LC or NT","LC or NT"
"Costus sarmentosus",93307,72,18,NA,"16","9","LC or NT","LC or NT B1a+B2a","55.6","LC or NT","LC or NT"
"Costus schlechteri",152547,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Costus spectabilis",13641523,1068,267,NA,"246","17","LC or NT","LC or NT B1a+B2a","8.5","LC or NT","LC or NT"
"Costus spiralis",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Costus subbiflorus",203364,36,9,NA,"7","4","VU","VU B2a","44.4","VU","LC or NT"
"Costus talbotii",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Costus tappenbeckianus",244635,160,41,NA,"32","4","LC or NT","LC or NT B1a+B2a","22.2","LC or NT","LC or NT"
"Costus violaceus",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Cotula abyssinica",1842866,72,18,NA,"17","5","LC or NT","LC or NT B1a+B2a","36.8","LC or NT","LC or NT"
"Cotula anthemoides",14432194,44,11,NA,"11","2","LC or NT","LC or NT B1a+B2a","18.2","LC or NT","LC or NT"
"Cotula coronopifolia",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Cotula cryptocephala",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cotula hispida",324905,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Cotula kotschyi",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cotula laxa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cotula lineariloba",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cotula melaleuca",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cotula zeyheri",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cotyledon barbeyi",1686296,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Cotyledon campanulata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Cotyledon orbiculata",447978,20,5,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Coula edulis",1739140,1084,290,NA,"200","20","LC or NT","LC or NT B1a+B2a","20.9","LC or NT","LC or NT"
"Courtoisina assimilis",1316315,68,17,NA,"16","1","LC or NT","LC or NT B1a+B2a","5.9","LC or NT","LC or NT"
"Courtoisina cyperoides",4104213,24,6,NA,"6","1","VU","VU B2a","16.7","VU","LC or NT"
"Crabbea albolutea",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crabbea angustifolia",57108,24,6,NA,"5","1","EN","EN B2a","25","EN","LC or NT"
"Crabbea hirsuta",769721,36,9,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Crabbea kaessneri",14753,60,15,NA,"14","1","LC or NT","LC or NT B1a+B2a","5.3","LC or NT","LC or NT"
"Crabbea nana",179369,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Crabbea velutina",3360582,188,48,NA,"46","7","LC or NT","LC or NT B1a+B2a","16.4","LC or NT","LC or NT"
"Craibia affinis",166743,80,20,NA,"17","3","LC or NT","LC or NT B1a+B2a","17.6","LC or NT","LC or NT"
"Craibia atlantica",1636368,96,24,NA,"23","7","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Craibia brevicaudata",4499190,308,80,NA,"72","11","LC or NT","LC or NT B1a+B2a","16","LC or NT","LC or NT"
"Craibia brownii",514985,20,5,NA,"5","2","EN","EN B2a","40","EN","LC or NT"
"Craibia grandiflora",1022125,108,29,NA,"22","3","LC or NT","LC or NT B1a+B2a","12.9","LC or NT","LC or NT"
"Craibia laurentii",2456237,44,11,NA,"10","3","VU","VU B2a","41.7","VU","LC or NT"
"Craibia lujae",329720,32,8,NA,"7","1","VU","VU B2a","11.1","VU","LC or NT"
"Craibia simplex",77389,48,14,NA,"11","2","LC or NT","LC or NT B1a+B2a","13.3","LC or NT","LC or NT"
"Craibia zimmermannii",535436,48,13,NA,"11","3","LC or NT","LC or NT B1a+B2a","26.7","LC or NT","LC or NT"
"Crambe hispanica",518217,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Crambe kilimandscharica",149924,16,4,NA,"3","2","EN","EN B2a","75","EN","LC or NT"
"Craspedorhachis africana",352313,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Craspedorhachis rhodesiana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassocephalum baoulense",11843,12,3,NA,"3","1","EN","EN B2a","33.3","EN","VU"
"Crassocephalum bauchiense",477423,36,10,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Crassocephalum bougheyanum",5212,44,11,NA,"8","2","VU","VU B1a+B2a","54.5","VU","VU"
"Crassocephalum coeruleum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassocephalum crepidioides",13042903,500,127,NA,"118","18","LC or NT","LC or NT B1a+B2a","19.7","LC or NT","LC or NT"
"Crassocephalum ducis-aprutii",55524,112,30,NA,"11","5","LC or NT","LC or NT B1a+B2a","87.5","LC or NT","LC or NT"
"Crassocephalum gracile",866772,56,15,NA,"13","2","LC or NT","LC or NT B1a+B2a","54.2","LC or NT","LC or NT"
"Crassocephalum kassnerianum",98072,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Crassocephalum libericum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassocephalum macropappum",257631,56,15,NA,"13","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Crassocephalum montuosum",7987784,424,108,NA,"92","22","LC or NT","LC or NT B1a+B2a","31.4","LC or NT","LC or NT"
"Crassocephalum paludum",67366,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Crassocephalum radiatum",85633,24,7,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Crassocephalum rubens",14035435,632,159,NA,"143","23","LC or NT","LC or NT B1a+B2a","22.4","LC or NT","LC or NT"
"Crassocephalum splendens",9527,20,5,NA,"4","3","EN","EN B2a","80","EN","VU"
"Crassocephalum togoense",66156,44,11,NA,"11","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Crassocephalum torreanum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassocephalum uvens",1240448,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Crassocephalum vitellinum",9077905,368,97,NA,"81","11","LC or NT","LC or NT B1a+B2a","16.7","LC or NT","LC or NT"
"Crassula alata",2743847,40,12,NA,"10","1","VU","VU B2a","15.4","VU","LC or NT"
"Crassula alba",11026292,220,55,NA,"51","10","LC or NT","LC or NT B1a+B2a","21.4","LC or NT","LC or NT"
"Crassula alsinoides",6552816,160,41,NA,"34","5","LC or NT","LC or NT B1a+B2a","22.2","LC or NT","LC or NT"
"Crassula alticola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula aphylla",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula argyrophylla",34507,16,5,NA,"4","1","EN","EN B2a","16.7","EN","LC or NT"
"Crassula atropurpurea",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crassula biplanata",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crassula capitella",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula dejecta",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula dichotoma",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula dodii",6559,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Crassula ellenbeckiana",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crassula expansa",2102005,40,10,NA,"10","0","VU","VU B2a","0","VU","LC or NT"
"Crassula fascicularis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula flava",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula fusca",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crassula globularioides",388636,88,23,NA,"14","6","LC or NT","LC or NT B1a+B2a","56","LC or NT","LC or NT"
"Crassula glomerata",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crassula granvikii",1556226,120,30,NA,"28","5","LC or NT","LC or NT B1a+B2a","23.3","LC or NT","LC or NT"
"Crassula hemisphaerica",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula hirsuta",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula lanceolata",2226118,48,12,NA,"8","2","VU","VU B2a","50","VU","LC or NT"
"Crassula morrumbalensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula multiflora",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula muscosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula namaquensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula nemorosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula nudicaulis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula oblanceolata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula orbicularis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula pellucida",196546,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Crassula perfoliata",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crassula sarcocaulis",85084,40,11,NA,"5","1","EN","EN B2a","64.3","EN","LC or NT"
"Crassula schimperi",6816480,104,26,NA,"24","3","LC or NT","LC or NT B1a+B2a","11.1","LC or NT","LC or NT"
"Crassula setulosa",201982,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Crassula subulata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula tabularis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula tenuipedicellata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula thunbergiana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crassula vaginata",8926565,108,28,NA,"23","8","LC or NT","LC or NT B1a+B2a","55","LC or NT","LC or NT"
"Crassula volkensii",269588,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Crassula zombensis",110,12,3,NA,"2","1","EN","EN B1a+B2a","66.7","EN","EN"
"Crateranthus congolensis",61784,20,5,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Crateranthus le-testui",946,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crateranthus talbotii",113974,80,24,NA,"16","3","LC or NT","LC or NT B1a+B2a","22.2","LC or NT","LC or NT"
"Craterispermum aristatum",37455,76,19,NA,"13","3","LC or NT","LC or NT B1a+B2a","56.5","LC or NT","LC or NT"
"Craterispermum caudatum",1956626,296,76,NA,"62","18","LC or NT","LC or NT B1a+B2a","47.5","LC or NT","LC or NT"
"Craterispermum cerinanthum",3075616,224,58,NA,"50","14","LC or NT","LC or NT B1a+B2a","28.8","LC or NT","LC or NT"
"Craterispermum deblockianum",3760,24,7,NA,"5","1","EN","EN B1a+B2a","14.3","EN","EN"
"Craterispermum dewevrei",366353,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Craterispermum gabonicum",71628,64,19,NA,"14","1","LC or NT","LC or NT B1a+B2a","10","LC or NT","LC or NT"
"Craterispermum inquisitorium",213561,24,6,NA,"5","2","EN","EN B2a","50","EN","LC or NT"
"Craterispermum laurinum",9704682,240,63,NA,"57","3","LC or NT","LC or NT B1a+B2a","4.9","LC or NT","LC or NT"
"Craterispermum ledermannii",195329,324,90,NA,"57","6","LC or NT","LC or NT B1a+B2a","17.2","LC or NT","LC or NT"
"Craterispermum longipedunculatum",29830,52,14,NA,"10","5","VU","VU B2a","52.6","VU","LC or NT"
"Craterispermum montanum",52038,44,12,NA,"5","2","EN","EN B2a","42.9","EN","LC or NT"
