"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Vepris louisii",196806,32,9,NA,"6","2","VU","VU B2a","76.5","VU","LC or NT"
"Vepris mendoncana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vepris mildbraediana",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vepris morogorensis",65951,40,11,NA,"10","6","VU","VU B2a","58.3","VU","LC or NT"
"Vepris myrei",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vepris ngamensis",19,16,4,NA,"2","1","EN","EN B1a+B2a","50","EN","EN"
"Vepris nobilis",6359554,288,74,NA,"69","14","LC or NT","LC or NT B1a+B2a","19.2","LC or NT","LC or NT"
"Vepris reflexa",499398,36,10,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Vepris renieri",4431,28,7,NA,"5","1","EN","EN B1a+B2a","33.3","EN","EN"
"Vepris rogersii",494273,48,12,NA,"11","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Vepris samburuensis",15,12,3,NA,"2","2","LC or NT","EN B1a+B2a","100","EN","EN"
"Vepris sansibarensis",160428,100,25,NA,"24","5","LC or NT","LC or NT B1a+B2a","23.3","LC or NT","LC or NT"
"Vepris schliebenii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vepris simplicifolia",1021511,328,86,NA,"67","20","LC or NT","LC or NT B1a+B2a","43.4","LC or NT","LC or NT"
"Vepris soyauxii",183260,68,17,NA,"17","4","LC or NT","LC or NT B1a+B2a","31.6","LC or NT","LC or NT"
"Vepris stolzii",865216,112,29,NA,"22","11","LC or NT","LC or NT B1a+B2a","59.4","LC or NT","LC or NT"
"Vepris suaveolens",2399295,128,34,NA,"30","10","LC or NT","LC or NT B1a+B2a","46.2","LC or NT","LC or NT"
"Vepris tabouensis",106055,64,16,NA,"16","3","LC or NT","LC or NT B1a+B2a","15.8","LC or NT","LC or NT"
"Vepris termitaria",13741,20,5,NA,"5","2","EN","EN B2a","40","EN","VU"
"Vepris trifoliolata",87428,48,17,NA,"9","2","VU","VU B2a","11.1","VU","LC or NT"
"Vepris uguenensis",128396,72,18,NA,"16","3","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Vepris unifoliolata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vepris verdoorniana",1584859,96,24,NA,"23","5","LC or NT","LC or NT B1a+B2a","35.7","LC or NT","LC or NT"
"Vepris zambesiaca",442449,36,9,NA,"8","2","VU","VU B2a","30","VU","LC or NT"
"Verbascum pedunculosum",23235,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Verbascum sedgwickianum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Verbascum sinaiticum",1237757,80,20,NA,"18","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Verbascum sinuatum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Verbascum valerianifolium",12022,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Verbena litoralis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Verbena officinalis",694307,48,12,NA,"10","1","VU","VU B2a","15.4","VU","LC or NT"
"Verbena rigida",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Verbena tenuisecta",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia abyssinica",86199,40,10,NA,"8","1","VU","VU B2a","30","VU","LC or NT"
"Vernonia acuminatissima",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia adenocephala",1054980,100,25,NA,"25","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia adoensis",15278488,356,89,NA,"84","9","LC or NT","LC or NT B1a+B2a","10.8","LC or NT","LC or NT"
"Vernonia agrianthoides",757,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Vernonia albocinerascens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
